RANK,Trade Value,SF Trade Value
203,150.355056,140.1179483
204,150.1591911,139.9985399
205,149.4884243,139.549408
206,148.2808848,139.5474181
207,146.1842961,136.7481871
208,145.8611776,135.8198579
209,145.6725672,134.5471852
210,143.4300543,132.1546349
211,138.6200731,131.8944221
212,137.2888543,131.6361153
213,137.0263565,131.348468
214,135.7222691,131.3418625
215,135.310884,128.190566
216,134.5396367,127.7573404
217,134.2773963,127.4933288
218,133.8904569,127.1408391
219,133.4371243,126.968604
220,131.9564834,126.3787604
221,131.7924195,125.4678877
222,131.1531269,123.4732517
223,130.5077921,123.1292975
224,130.4954835,123.0232592
225,130.0267409,117.0835121
226,128.5503798,115.6509815
227,128.3689091,115.4201523
228,128.2822991,115.3326826
229,128.1628448,114.2733937
230,127.7862962,113.9116392
231,127.1492853,113.749974
232,126.937161,113.4126871
233,126.5664356,113.2334374
234,125.7514708,113.0028345
235,125.1616234,112.2639354
236,124.9217977,110.8176524
237,124.8084899,110.5982336
238,123.448806,110.2554859
239,122.8588104,109.6771825
240,121.9749955,108.8293156
241,120.9122424,107.9667418
242,120.8690279,107.8071642
243,120.5169298,107.6259601
244,120.3809534,107.2948394
245,120.0252323,107.0240127
246,119.7180694,106.7346793
247,118.9698454,106.5481463
248,118.9331183,106.2221462
249,118.9172384,105.5055011
250,118.2731787,105.2675879
10,765.9864825,754.7378997
29,542.3442683,537.7884246
38,507.7241643,468.9808587
47,458.8921186,440.998695
55,400.6134203,398.4551037
63,369.3790416,353.1819948
70,356.8524385,330.0492806
78,346.0016613,316.5015476
84,330.187448,304.9177273
91,316.8859171,292.7259067
97,310.6398088,282.4696964
103,294.9103439,273.5701849
108,287.5612217,269.3282464
113,276.1439258,260.2522886
118,269.4976566,251.231414
123,255.0257787,246.5064682
128,245.0142851,236.2707428
132,238.0635645,227.5309076
136,232.8933649,223.4337095
141,225.54547,215.933051
145,219.3712306,210.3801068
148,213.0662421,208.6621884
152,204.2152666,199.7289483
156,197.1922863,196.976413
159,193.0950919,187.830704
163,191.2519593,182.2863675
166,187.4985582,174.9720812
170,184.0778451,171.1307518
173,180.8987316,168.3274914
177,179.057796,164.2980893
181,172.5606702,160.5480556
184,170.4081761,156.795214
188,166.557781,153.2682099
192,161.9691418,148.9911938
196,158.7775113,146.0717376
200,155.1324363,143.1713867
204,150.1591911,139.9985399
208,145.8611776,135.8198579
213,137.0263565,131.348468
217,134.2773963,127.4933288
222,131.1531269,123.4732517
227,128.3689091,115.4201523
233,126.5664356,113.2334374
238,123.448806,110.2554859
244,120.3809534,107.2948394
250,118.2731787,105.2675879
257,115.2731787,102.2675879
264,112.2731787,99.26758791
