Name,POS,Team,Age,Trade Value,SF Trade Value
Jauan Jennings,WR,SF,27.0,301.7038462,273.5701849
D'Andre Swift,RB,CHI,26.0,294.9103439,247.6091908
Deebo Samuel Sr.,WR,WAS,29.0,293.3310645,246.5564451
Calvin Ridley,WR,TEN,30.0,292.3503739,246.5064682
Jaylin Noel,WR,HOU,22.0,291.470163,239.9571876
Kyle Williams,WR,FA,23.0,288.5221545,239.7391247
Jonnu Smith,TE,MIA,29.0,287.5612217,238.7491095
Michael Pittman Jr.,WR,IND,27.0,287.3509911,237.7541782
Mark Andrews,TE,BAL,29.0,286.9794978,235.8042688
Tyjae Spears,RB,TEN,23.0,286.0969811,227.5309076
Elijah Arroyo,TE,SEA,22.0,278.401196,225.3523026
Terrance Ferguson,TE,LAR,22.0,276.1439258,224.635647
Jordan Mason,RB,MIN,26.0,274.6599449,224.4097379
Dylan Sampson,RB,CLE,20.0,274.4569714,223.4337095
Kyler Murray,QB,ARI,27.0,273.9264998,557.7369233
Isiah Pacheco,RB,KC,26.0,272.2282844,219.183785
Jaydon Blue,RB,DAL,21.0,269.4976566,218.5815713
Evan Engram,TE,DEN,30.0,266.0547963,216.4692517
Jaylen Warren,RB,PIT,26.0,264.5180798,215.933051
Aaron Jones,RB,MIN,30.0,262.0405824,212.562323
Jarquez Hunter,RB,LAR,22.0,261.2256056,211.7222482
Brock Purdy,QB,SF,25.0,255.0257787,545.1919554
Baker Mayfield,QB,TB,30.0,251.9388267,501.301913
Rashid Shaheed,WR,NO,26.0,250.2501188,210.3801068
Pat Bryant,WR,DEN,22.0,247.4958892,209.7643189
Keon Coleman,WR,BUF,22.0,246.5405608,208.7984904
Tank Bigsby,RB,JAX,23.0,245.0142851,208.6621884
Jaylen Wright,RB,MIA,22.0,244.3140146,203.1124762
Jordan Love,QB,GB,26.0,243.8263858,501.0272002
Trevor Lawrence,QB,JAX,25.0,240.9072196,468.9808587
Isaac Guerendo,RB,SF,24.0,238.0635645,202.2477441
Najee Harris,RB,LAC,27.0,236.7495763,201.9955421
